Trip_ID,Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,label
T0005689460,6.77,B,1.0,2.42769,A,A,3.905,0,40.0,46,60,Female,2
T0005689461,29.47,B,10.0,2.78245,B,A,3.45,0,38.0,56,78,Male,2
T0005689464,41.58,,10.0,,,E,3.50125,2,,56,77,Male,2
T0005689465,61.56,C,10.0,,,A,3.45375,0,,52,74,Male,3
T0005689467,54.95,C,10.0,3.03453,B,A,3.4025,4,51.0,49,102,Male,2
T0005689469,19.06,E,10.0,,,A,2.5975,1,72.0,63,91,Male,3
T0005689470,29.72,E,10.0,2.83958,C,B,2.975,1,83.0,50,75,Male,2
T0005689472,18.44,B,2.0,2.81871,B,A,3.5825,0,103.0,46,63,Male,2
T0005689473,106.8,C,3.0,,,A,3.14625,0,,58,92,Male,2
T0005689474,107.19,D,5.0,3.04467,B,A,2.44375,1,,58,83,Male,3
T0005689475,46.07,D,10.0,2.95887,C,B,2.49125,2,89.0,48,69,Female,2
T0005689477,90.93,,0.0,2.95327,C,C,2.935,1,,46,63,Male,2
T0005689479,39.73,B,10.0,2.8487,C,B,3.12875,2,71.0,47,76,Male,2
T0005689482,31.16,B,,2.6917,B,A,2.1475,0,,53,90,Female,1
T0005689484,83.53,C,0.0,2.80658,C,A,2.07625,0,,51,75,Male,2
T0005689485,14.18,,1.0,2.16167,A,A,3.1975,1,,46,57,Female,2
T0005689486,56.83,E,4.0,2.6615,B,A,1.39625,0,,47,80,Male,3
T0005689487,14.12,D,3.0,2.97795,B,G,4.93375,0,52.0,47,64,Male,1
T0005689491,13.94,B,,2.35974,B,B,1.7975,0,,50,64,Male,2
T0005689492,81.7,A,0.0,2.82307,B,D,2.7975,5,41.0,51,80,Male,3
T0005689493,72.54,C,0.0,3.06236,C,A,2.0825,0,,52,89,Male,1
T0005689496,25.6,C,0.0,2.57278,B,F,4.265,2,,45,66,Male,2
T0005689497,8.65,C,9.0,2.48367,C,A,2.45,1,,46,62,Male,3
T0005689498,18.85,D,0.0,2.61439,C,A,4.14625,0,65.0,44,58,Male,3
T0005689501,38.32,A,10.0,2.77751,C,A,3.605,2,,51,73,Male,3
T0005689502,16.78,B,1.0,2.70013,A,A,1.6125,3,,52,85,Male,1
T0005689503,65.02,C,10.0,2.9851,C,A,2.4525,1,,63,96,Male,2
T0005689504,18.47,A,9.0,2.77751,B,A,1.44,5,,55,85,Male,1
T0005689505,31.82,,10.0,2.70044,C,B,3.15125,1,,51,66,Male,1
T0005689506,9.1,D,10.0,2.70352,A,D,2.425,0,,45,61,Female,3
T0005689507,64.51,A,10.0,2.66894,B,A,1.0775,0,,51,71,Female,3
T0005689508,47.92,E,1.0,2.62154,B,A,4.225,2,,46,66,Male,3
T0005689509,18.34,,4.0,2.59621,A,B,3.15875,0,,53,72,Male,1
T0005689510,63.88,A,10.0,2.97894,B,B,3.405,0,102.0,53,79,Male,1
T0005689513,30.93,,6.0,2.65609,B,B,2.55625,0,70.0,51,83,Male,2
T0005689515,36.1,B,,2.70134,B,A,1.835,0,,59,95,Male,1
T0005689516,4.78,C,5.0,2.47188,B,C,2.18,3,81.0,51,87,Female,2
T0005689517,93.78,,4.0,,,A,3.33125,2,,62,98,Female,3
T0005689519,12.66,B,6.0,2.70811,B,A,3.12375,0,84.0,48,64,Male,2
T0005689520,75.85,A,7.0,,,B,1.94375,0,96.0,52,84,Female,1
T0005689521,78.25,,8.0,2.7719,B,A,1.08875,0,,48,76,Female,1
T0005689522,87.2,C,6.0,3.21957,C,B,3.3125,0,,51,86,Male,2
T0005689523,37.04,E,1.0,2.60963,C,A,3.565,0,,48,59,Female,3
T0005689525,25.82,D,10.0,2.84043,B,D,2.8875,4,36.0,59,93,Male,3
T0005689529,107.42,A,10.0,,,A,1.0175,1,38.0,51,75,Male,3
T0005689530,106.9,E,2.0,2.99798,B,A,2.19375,0,,48,70,Male,3
T0005689532,29.93,B,10.0,2.56887,A,A,4.145,0,73.0,48,72,Male,1
T0005689533,25.27,B,0.0,,,B,1.5625,0,,48,83,Male,2
T0005689534,2.83,A,0.0,2.42948,C,A,1.95,0,,47,63,Female,1
T0005689536,16.55,A,2.0,2.89871,A,B,3.2675,0,,56,79,Male,1
T0005689537,36.76,,5.0,2.64466,A,A,2.46375,0,83.0,49,68,Male,3
T0005689538,13.44,C,6.0,2.68583,A,E,1.54375,0,73.0,47,62,Male,3
T0005689539,51.98,D,0.0,3.11521,C,A,3.78375,0,60.0,46,61,Male,3
T0005689542,26.04,A,10.0,2.94976,C,C,1.6825,0,,61,95,Male,1
T0005689543,108.5,C,2.0,2.99815,C,A,2.37,0,,59,96,Female,2
T0005689544,92.57,E,10.0,3.07572,C,C,3.8075,1,,52,69,Male,3
T0005689545,43.17,,9.0,2.55422,B,A,1.64125,3,,55,72,Male,2
T0005689546,26.42,C,0.0,2.7305,C,B,3.6075,0,,53,69,Male,2
