age,job,salary,marital,education,targeted,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
58,management,100000,married,tertiary,yes,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no
44,technician,60000,single,secondary,yes,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
33,entrepreneur,120000,married,secondary,yes,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
47,blue-collar,20000,married,unknown,no,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
33,unknown,0,single,unknown,no,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
35,management,100000,married,tertiary,yes,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
28,management,100000,single,tertiary,no,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
42,entrepreneur,120000,divorced,tertiary,no,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
58,retired,55000,married,primary,yes,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no
43,technician,60000,single,secondary,yes,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no
41,admin.,50000,divorced,secondary,yes,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
29,admin.,50000,single,secondary,yes,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no
53,technician,60000,married,secondary,yes,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
58,technician,60000,married,unknown,no,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
57,services,70000,married,secondary,yes,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
51,retired,55000,married,primary,yes,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
45,admin.,50000,single,unknown,no,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
57,blue-collar,20000,married,primary,yes,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
60,retired,55000,married,primary,yes,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
33,services,70000,married,secondary,yes,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
28,blue-collar,20000,married,secondary,yes,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
56,management,100000,married,tertiary,yes,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
32,blue-collar,20000,single,primary,yes,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
25,services,70000,married,secondary,yes,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
40,retired,55000,married,primary,yes,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
44,admin.,50000,married,secondary,yes,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
39,management,100000,single,tertiary,no,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no
52,entrepreneur,120000,married,secondary,yes,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
46,management,100000,single,secondary,yes,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no
36,technician,60000,single,secondary,yes,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no
57,technician,60000,married,secondary,yes,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
49,management,100000,married,tertiary,yes,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no
60,admin.,50000,married,secondary,yes,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no
59,blue-collar,20000,married,secondary,yes,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
51,management,100000,married,tertiary,yes,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
57,technician,60000,divorced,secondary,yes,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no
25,blue-collar,20000,married,secondary,yes,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no
53,technician,60000,married,secondary,yes,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no
36,admin.,50000,divorced,secondary,yes,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no
37,admin.,50000,single,secondary,yes,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
44,services,70000,divorced,secondary,yes,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
50,management,100000,married,secondary,yes,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no
60,blue-collar,20000,married,unknown,no,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
54,retired,55000,married,secondary,yes,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no
58,retired,55000,married,unknown,no,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no
36,admin.,50000,single,primary,yes,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no
58,self-employed,60000,married,tertiary,yes,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
44,technician,60000,married,secondary,yes,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no
55,technician,60000,divorced,secondary,yes,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
29,management,100000,single,tertiary,no,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no
54,blue-collar,20000,married,secondary,yes,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
48,management,100000,divorced,tertiary,no,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no
32,management,100000,married,tertiary,yes,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no
42,admin.,50000,single,secondary,yes,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
24,technician,60000,single,secondary,yes,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
38,entrepreneur,120000,single,tertiary,no,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no
38,management,100000,single,tertiary,no,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no
47,blue-collar,20000,married,unknown,no,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no
40,blue-collar,20000,single,unknown,no,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
46,services,70000,married,primary,yes,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no
32,admin.,50000,married,tertiary,yes,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
53,technician,60000,divorced,secondary,yes,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no
57,blue-collar,20000,married,primary,yes,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no
33,services,70000,married,secondary,yes,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no
49,blue-collar,20000,married,unknown,no,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
51,management,100000,married,tertiary,yes,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no
60,retired,55000,married,tertiary,yes,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no
59,management,100000,divorced,tertiary,no,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
55,technician,60000,married,secondary,yes,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no
35,blue-collar,20000,single,secondary,yes,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
57,blue-collar,20000,married,secondary,yes,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no
31,services,70000,married,secondary,yes,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
54,management,100000,married,secondary,yes,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no
55,blue-collar,20000,married,primary,yes,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no
43,technician,60000,married,secondary,yes,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no
53,technician,60000,married,secondary,yes,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
44,blue-collar,20000,married,secondary,yes,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no
55,services,70000,divorced,secondary,yes,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no
49,services,70000,divorced,secondary,yes,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
55,services,70000,divorced,secondary,yes,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no
45,admin.,50000,single,secondary,yes,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no
47,services,70000,divorced,secondary,yes,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
42,technician,60000,single,secondary,yes,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
59,admin.,50000,married,secondary,yes,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
46,self-employed,60000,married,tertiary,yes,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
51,blue-collar,20000,married,primary,yes,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no
56,admin.,50000,married,secondary,yes,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
41,technician,60000,married,secondary,yes,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
46,management,100000,divorced,secondary,yes,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
57,retired,55000,married,secondary,yes,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no
42,management,100000,single,secondary,yes,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
30,technician,60000,married,secondary,yes,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no
60,admin.,50000,married,secondary,yes,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
60,blue-collar,20000,married,unknown,no,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no
57,entrepreneur,120000,divorced,secondary,yes,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no
36,management,100000,married,tertiary,yes,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
55,blue-collar,20000,married,secondary,yes,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
60,retired,55000,married,tertiary,yes,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no
39,technician,60000,married,secondary,yes,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no
46,management,100000,married,tertiary,yes,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no
44,blue-collar,20000,married,secondary,yes,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no
53,blue-collar,20000,married,primary,yes,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no
52,blue-collar,20000,married,primary,yes,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
59,blue-collar,20000,married,primary,yes,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no
27,technician,60000,single,tertiary,no,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
44,blue-collar,20000,married,secondary,yes,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no
47,technician,60000,married,tertiary,yes,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no
34,admin.,50000,married,secondary,yes,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
59,retired,55000,single,secondary,yes,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no
45,management,100000,married,tertiary,yes,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no
29,services,70000,divorced,secondary,yes,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no
46,technician,60000,divorced,secondary,yes,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no
56,self-employed,60000,married,primary,yes,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no
36,blue-collar,20000,married,primary,yes,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no
59,retired,55000,divorced,primary,yes,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no
44,blue-collar,20000,married,secondary,yes,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no
41,admin.,50000,married,secondary,yes,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
33,management,100000,single,tertiary,no,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no
59,management,100000,divorced,tertiary,no,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no
57,technician,60000,married,primary,yes,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no
56,technician,60000,divorced,unknown,no,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
51,blue-collar,20000,married,secondary,yes,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
34,admin.,50000,married,unknown,no,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no
43,services,70000,married,secondary,yes,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
52,technician,60000,married,tertiary,yes,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no
33,technician,60000,single,secondary,yes,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no
