action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,label,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Alley Oop Dunk Shot,Dunk,80,20001121,34.0443,0,0,-118.2698,3,1,0,2000-01,26,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1444
Turnaround Jump Shot,Jump Shot,209,20001121,34.0523,-141,-8,-118.4108,3,2,0,2000-01,30,14,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1445
Jump Shot,Jump Shot,218,20001121,34.0043,-126,40,-118.3958,1,2,0,2000-01,51,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1446
Jump Shot,Jump Shot,284,20001121,34.0213,-147,23,-118.4168,7,3,0,2000-01,34,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1447
Jump Shot,Jump Shot,302,20001121,34.0163,226,28,-118.0438,5,3,0,2000-01,48,22,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1448
Jump Shot,Jump Shot,305,20001121,34.0463,169,-2,-118.1008,5,3,0,2000-01,26,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1449
Jump Shot,Jump Shot,329,20001121,33.8523,-48,192,-118.3178,2,3,0,2000-01,6,19,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1450
Jump Shot,Jump Shot,352,20001121,33.9263,134,118,-118.1358,0,3,0,2000-01,14,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1451
Jump Shot,Jump Shot,366,20001121,33.9593,-126,85,-118.3958,11,4,0,2000-01,1,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-10,LAL vs. PHX,PHX,1452
Running Jump Shot,Jump Shot,14,20001136,33.9133,127,131,-118.1428,10,1,0,2000-01,25,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1453
Jump Shot,Jump Shot,30,20001136,33.9873,7,57,-118.2628,9,1,0,2000-01,8,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1454
Jump Shot,Jump Shot,37,20001136,33.8883,100,156,-118.1698,8,1,0,2000-01,30,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1455
Slam Dunk Shot,Dunk,46,20001136,34.0443,0,0,-118.2698,7,1,0,2000-01,24,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1456
Jump Shot,Jump Shot,64,20001136,33.9263,106,118,-118.1638,5,1,0,2000-01,5,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1457
Driving Layup Shot,Layup,67,20001136,34.0443,0,0,-118.2698,4,1,0,2000-01,42,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1458
Jump Shot,Jump Shot,69,20001136,33.9263,134,118,-118.1358,4,1,0,2000-01,8,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1459
Jump Shot,Jump Shot,93,20001136,33.8923,-111,152,-118.3808,1,1,0,2000-01,24,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1460
Running Jump Shot,Jump Shot,118,20001136,33.9193,106,125,-118.1638,10,2,0,2000-01,33,16,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1461
Jump Shot,Jump Shot,242,20001136,33.9473,-27,97,-118.2968,10,3,0,2000-01,37,10,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1462
Jump Shot,Jump Shot,256,20001136,33.8883,1,156,-118.2688,9,3,0,2000-01,23,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1463
Driving Layup Shot,Layup,263,20001136,34.0443,0,0,-118.2698,8,3,0,2000-01,17,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1464
Jump Shot,Jump Shot,266,20001136,33.9363,100,108,-118.1698,7,3,0,2000-01,50,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1465
Running Jump Shot,Jump Shot,272,20001136,33.8523,-48,192,-118.3178,6,3,0,2000-01,54,19,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1466
Jump Shot,Jump Shot,287,20001136,34.0523,127,-8,-118.1428,5,3,0,2000-01,13,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1467
Jump Shot,Jump Shot,292,20001136,34.0313,-160,13,-118.4298,4,3,0,2000-01,39,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1468
Driving Layup Shot,Layup,310,20001136,34.0443,0,0,-118.2698,2,3,0,2000-01,58,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1469
Jump Shot,Jump Shot,322,20001136,33.8523,-18,192,-118.2878,2,3,0,2000-01,36,19,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1470
Running Jump Shot,Jump Shot,324,20001136,34.0593,-126,-15,-118.3958,2,3,0,2000-01,3,12,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1471
Driving Layup Shot,Layup,327,20001136,34.0443,0,0,-118.2698,1,3,0,2000-01,32,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1472
Turnaround Jump Shot,Jump Shot,335,20001136,33.9093,35,135,-118.2348,1,3,0,2000-01,4,13,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1473
Jump Shot,Jump Shot,341,20001136,34.0313,155,13,-118.1148,0,3,0,2000-01,30,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1474
Layup Shot,Layup,370,20001136,34.0443,0,0,-118.2698,9,4,0,2000-01,26,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1475
Jump Shot,Jump Shot,391,20001136,33.8583,49,186,-118.2208,7,4,0,2000-01,48,19,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-12,LAL vs. MIN,MIN,1476
Jump Shot,Jump Shot,65,20001162,33.8813,134,163,-118.1358,5,1,0,2000-01,22,21,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1477
Jump Shot,Jump Shot,129,20001162,33.9323,155,112,-118.1148,10,2,0,2000-01,47,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1478
Jump Shot,Jump Shot,131,20001162,34.0733,142,-29,-118.1278,10,2,0,2000-01,9,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1479
Jump Shot,Jump Shot,136,20001162,33.7703,14,274,-118.2558,9,2,0,2000-01,38,27,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1480
Driving Layup Shot,Layup,146,20001162,34.0443,0,0,-118.2698,8,2,0,2000-01,11,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1481
Layup Shot,Layup,223,20001162,34.0443,0,0,-118.2698,1,2,0,2000-01,10,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1482
Driving Layup Shot,Layup,231,20001162,34.0443,0,0,-118.2698,0,2,0,2000-01,1,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1483
Jump Shot,Jump Shot,248,20001162,33.8373,73,207,-118.1968,10,3,0,2000-01,33,21,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1484
Jump Shot,Jump Shot,261,20001162,34.0213,193,23,-118.0768,9,3,0,2000-01,2,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1485
Jump Shot,Jump Shot,279,20001162,33.9093,-69,135,-118.3388,7,3,0,2000-01,11,15,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1486
Layup Shot,Layup,281,20001162,34.0443,0,0,-118.2698,6,3,0,2000-01,54,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1487
Driving Layup Shot,Layup,286,20001162,34.0443,0,0,-118.2698,5,3,0,2000-01,58,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1488
Driving Layup Shot,Layup,303,20001162,34.0443,0,0,-118.2698,4,3,0,2000-01,22,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1489
Jump Shot,Jump Shot,312,20001162,33.8883,94,156,-118.1758,3,3,0,2000-01,17,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1490
Driving Layup Shot,Layup,352,20001162,34.0443,0,0,-118.2698,0,3,0,2000-01,5,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1491
Jump Shot,Jump Shot,361,20001162,33.9263,1,118,-118.2688,0,3,0,2000-01,0,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1492
Jump Shot,Jump Shot,366,20001162,34.0373,241,7,-118.0288,11,4,0,2000-01,45,24,0.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1493
Turnaround Jump Shot,Jump Shot,406,20001162,33.9973,121,47,-118.1488,7,4,0,2000-01,11,12,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1494
Layup Shot,Layup,429,20001162,34.0443,0,0,-118.2698,4,4,0,2000-01,48,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1495
Jump Shot,Jump Shot,433,20001162,33.9323,-84,112,-118.3538,3,4,0,2000-01,57,14,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1496
Jump Shot,Jump Shot,436,20001162,34.0523,-105,-8,-118.3748,3,4,0,2000-01,10,10,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-15,LAL vs. POR,POR,1497
Running Jump Shot,Jump Shot,49,20001177,33.9193,155,125,-118.1148,7,1,0,2000-01,26,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1498
Jump Shot,Jump Shot,60,20001177,33.7913,73,253,-118.1968,5,1,0,2000-01,51,26,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1499
Layup Shot,Layup,88,20001177,34.0443,0,0,-118.2698,3,1,0,2000-01,17,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1500
Turnaround Jump Shot,Jump Shot,173,20001177,34.0463,142,-2,-118.1278,8,2,0,2000-01,18,14,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1501
Layup Shot,Layup,176,20001177,34.0443,0,0,-118.2698,7,2,0,2000-01,38,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1502
Jump Shot,Jump Shot,188,20001177,33.8983,85,146,-118.1848,6,2,0,2000-01,13,16,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1503
Jump Shot,Jump Shot,192,20001177,34.0043,-48,40,-118.3178,5,2,0,2000-01,51,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1504
Layup Shot,Layup,205,20001177,34.0443,0,0,-118.2698,5,2,0,2000-01,15,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1505
Jump Shot,Jump Shot,272,20001177,34.0463,-141,-2,-118.4108,11,3,0,2000-01,3,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1506
Driving Layup Shot,Layup,320,20001177,34.0443,0,0,-118.2698,6,3,0,2000-01,26,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1507
Dunk Shot,Dunk,326,20001177,34.0443,0,0,-118.2698,6,3,0,2000-01,5,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1508
Jump Shot,Jump Shot,340,20001177,34.0463,-160,-2,-118.4298,4,3,0,2000-01,18,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1509
Jump Shot,Jump Shot,351,20001177,33.8523,169,192,-118.1008,3,3,0,2000-01,19,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-04-17,LAL vs. DEN,DEN,1510
Jump Shot,Jump Shot,9,20100012,33.8753,-84,169,-118.3538,10,1,0,2001-02,34,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1511
Running Jump Shot,Jump Shot,13,20100012,33.9153,85,129,-118.1848,10,1,0,2001-02,6,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1512
Dunk Shot,Dunk,17,20100012,34.0443,0,0,-118.2698,9,1,0,2001-02,42,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1513
Jump Shot,Jump Shot,28,20100012,33.9093,37,135,-118.2328,7,1,0,2001-02,54,13,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1514
Jump Shot,Jump Shot,40,20100012,34.0293,73,15,-118.1968,6,1,0,2001-02,21,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1515
Layup Shot,Layup,47,20100012,34.0443,0,0,-118.2698,5,1,0,2001-02,50,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1516
Jump Shot,Jump Shot,98,20100012,33.8753,-113,169,-118.3828,0,1,0,2001-02,37,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1517
Driving Layup Shot,Layup,128,20100012,34.0443,0,0,-118.2698,10,2,0,2001-02,21,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1518
Reverse Layup Shot,Layup,188,20100012,34.0443,0,0,-118.2698,4,2,0,2001-02,58,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1519
Jump Shot,Jump Shot,195,20100012,33.9363,100,108,-118.1698,4,2,0,2001-02,18,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1520
Driving Layup Shot,Layup,227,20100012,34.0443,0,0,-118.2698,0,2,0,2001-02,48,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1521
Driving Layup Shot,Layup,232,20100012,34.0443,0,0,-118.2698,0,2,0,2001-02,4,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1522
Jump Shot,Jump Shot,242,20100012,34.0233,159,21,-118.1108,10,3,0,2001-02,58,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1523
Jump Shot,Jump Shot,244,20100012,33.9153,7,129,-118.2628,10,3,0,2001-02,51,12,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1524
Reverse Dunk Shot,Dunk,265,20100012,34.0443,0,0,-118.2698,8,3,0,2001-02,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1525
Driving Layup Shot,Layup,276,20100012,34.0443,0,0,-118.2698,7,3,0,2001-02,26,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1526
Jump Shot,Jump Shot,302,20100012,33.9533,30,91,-118.2398,5,3,0,2001-02,21,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1527
Reverse Layup Shot,Layup,325,20100012,34.0443,0,0,-118.2698,3,3,0,2001-02,11,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1528
Running Jump Shot,Jump Shot,352,20100012,33.9763,-27,68,-118.2968,0,3,0,2001-02,55,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1529
Alley Oop Dunk Shot,Dunk,360,20100012,34.0443,0,0,-118.2698,0,3,0,2001-02,36,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1530
Jump Shot,Jump Shot,363,20100012,33.8293,129,215,-118.1408,0,3,0,2001-02,3,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1531
Jump Shot,Jump Shot,431,20100012,33.9473,195,97,-118.0748,5,4,0,2001-02,33,21,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1532
Alley Oop Layup shot,Layup,442,20100012,34.0443,0,0,-118.2698,4,4,0,2001-02,29,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1533
Slam Dunk Shot,Dunk,463,20100012,34.0443,0,0,-118.2698,3,4,0,2001-02,7,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-10-30,LAL vs. POR,POR,1534
Jump Shot,Jump Shot,29,20100023,33.9153,123,129,-118.1468,8,1,0,2001-02,34,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1535
Jump Shot,Jump Shot,31,20100023,33.8603,-113,184,-118.3828,7,1,0,2001-02,55,21,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1536
Jump Shot,Jump Shot,61,20100023,33.8443,-18,200,-118.2878,5,1,0,2001-02,18,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1537
Slam Dunk Shot,Dunk,81,20100023,34.0443,0,0,-118.2698,3,1,0,2001-02,30,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1538
Jump Shot,Jump Shot,109,20100023,34.0593,180,-15,-118.0898,0,1,0,2001-02,40,18,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1539
Jump Shot,Jump Shot,124,20100023,33.8203,-98,224,-118.3678,11,2,0,2001-02,38,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1540
Layup Shot,Layup,136,20100023,34.0443,0,0,-118.2698,10,2,0,2001-02,24,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1541
Jump Shot,Jump Shot,197,20100023,33.8733,7,171,-118.2628,4,2,0,2001-02,59,17,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1542
Jump Shot,Jump Shot,270,20100023,34.0523,180,-8,-118.0898,9,3,0,2001-02,42,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1543
Jump Shot,Jump Shot,292,20100023,33.8963,-4,148,-118.2738,6,3,0,2001-02,50,14,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1544
Jump Shot,Jump Shot,294,20100023,33.9033,153,141,-118.1168,6,3,0,2001-02,12,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1545
Layup Shot,Layup,315,20100023,34.0443,0,0,-118.2698,4,3,0,2001-02,13,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1546
Jump Shot,Jump Shot,332,20100023,34.0483,-176,-4,-118.4458,2,3,0,2001-02,31,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1547
Jump Shot,Jump Shot,338,20100023,34.0653,180,-21,-118.0898,1,3,0,2001-02,38,18,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1548
Alley Oop Dunk Shot,Dunk,356,20100023,34.0443,0,0,-118.2698,0,3,0,2001-02,47,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1549
Jump Shot,Jump Shot,358,20100023,34.0653,195,-21,-118.0748,0,3,0,2001-02,24,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1550
Jump Shot,Jump Shot,373,20100023,33.8033,22,241,-118.2478,0,3,0,2001-02,2,24,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1551
Jump Shot,Jump Shot,398,20100023,33.8143,-134,230,-118.4038,10,4,0,2001-02,19,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1552
Jump Shot,Jump Shot,401,20100023,34.0593,-185,-15,-118.4548,9,4,0,2001-02,56,18,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1553
