Unnamed: 0,Book_length(mins)_overall,Book_length(mins)_avg,Price_overall,Price_avg,Review,Review10/10,Completion,Minutes_listened,Support_Request,Last_Visited_mins_Purchase_date,label
994,1620.0,1620,19.73,19.73,1,10.0,0.99,1603.8,5,92,0
1143,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0
2059,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,388,0
2882,1620.0,1620,5.96,5.96,0,8.91,0.42,680.4,1,129,0
3342,2160.0,2160,5.33,5.33,0,8.91,0.22,475.2,0,361,0
3416,2160.0,2160,4.61,4.61,0,8.91,0.0,0.0,0,0,0
4949,2160.0,2160,5.33,5.33,0,8.91,0.04,86.4,0,366,0
9011,648.0,648,5.33,5.33,0,8.91,0.0,0.0,0,0,1
9282,2160.0,2160,5.33,5.33,0,8.91,0.26,561.6,0,33,0
10500,2160.0,2160,5.33,5.33,1,10.0,0.27,583.2,0,366,0
12898,540.0,540,5.33,5.33,0,8.91,0.28,151.2,0,34,0
16370,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,1
16587,2160.0,2160,13.33,13.33,0,8.91,0.6,1296.0,0,98,0
18065,648.0,648,50.66,50.66,0,8.91,0.0,0.0,0,0,0
19313,2160.0,2160,7.03,7.03,0,8.91,0.0,0.0,0,0,0
19996,594.0,1188,29.33,58.67,0,10.0,0.0,0.0,0,0,1
20124,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,29,0
23153,1620.0,1620,11.68,11.68,1,8.0,0.71,1150.2,1,25,0
23372,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,1,0
23757,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,9,0
24187,1620.0,1620,14.29,14.29,1,7.0,0.43,696.6,0,66,0
25850,1620.0,1620,5.33,5.33,0,8.91,0.08,129.6,0,342,0
27030,1188.0,4752,6.0,23.99,0,10.0,0.0,0.0,0,176,1
27703,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,0,0
29095,1404.0,2808,27.99,55.99,0,8.91,0.0,0.0,0,0,1
31062,2160.0,2160,5.33,5.33,0,8.91,0.6,1296.0,0,228,0
33068,2160.0,2160,5.96,5.96,0,8.91,0.0,0.0,0,0,0
3330,1620.0,1620,16.99,16.99,0,8.91,0.33,534.6,0,364,0
3699,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,1,1
4943,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0
5790,2160.0,2160,11.68,11.68,0,8.91,0.0,0.0,0,0,0
5829,1620.0,1620,6.11,6.11,0,8.91,0.12,194.4,0,8,0
7053,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0
13555,2160.0,2160,12.8,12.8,1,8.0,0.19,410.4,0,1,0
14162,2160.0,2160,5.33,5.33,0,8.91,0.04,86.4,0,211,0
14292,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0
17021,2160.0,2160,5.33,5.33,1,10.0,0.23,496.8,0,186,0
20156,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0
20919,2160.0,2160,5.33,5.33,1,10.0,0.45,972.0,0,158,0
20998,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0
24221,2160.0,2160,5.33,5.33,0,8.91,0.05,108.0,0,14,0
25167,2160.0,2160,5.33,5.33,0,8.91,0.07,151.2,0,149,0
25991,2160.0,2160,5.33,5.33,0,8.91,0.37,799.2,0,387,0
27323,2160.0,2160,4.1,4.1,0,8.91,0.0,0.0,0,39,0
28685,1620.0,1620,6.04,6.04,0,8.91,0.64,1036.8,1,7,0
4481,2160.0,2160,5.33,5.33,0,8.91,0.08,172.8,0,344,0
4722,1332.0,3996,5.33,15.99,0,8.91,0.0,0.0,0,86,1
10753,2160.0,2160,11.35,11.35,0,8.91,0.1,216.0,0,323,0
