label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
1,4438827,2858,95,20,0,1,0,790,1,0,0,53,0,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0
1,4145089,4728,199,10,0,0,6,1821,0,0,0,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,4409677,1240,35,6,0,0,0,132,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,4705142,6249,152,7,0,0,10,269,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,4424842,4446,78,21,0,0,0,615,1,0,0,28,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1,3327350,5427,34,43,0,4,0,975,1,0,0,140,0,7,1,0,1,2,0,0,0,4,19,0,0,0,0,0
1,4671724,129,7,0,0,0,6,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,4609846,68,7,0,0,0,13,146,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0
1,5027014,368,5,2,0,1,0,41,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2315837,12876,57,27,0,0,0,679,1,0,0,30,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
1,2302300,13452,34,24,0,0,0,626,1,0,0,24,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
1,5002508,819,5,5,0,0,0,116,1,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
1,5578454,1966,936,6,0,0,0,148,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,5667697,107,17,4,2,0,60,384,0,0,0,159,2,0,1,0,1,23,0,0,0,43,0,0,0,0,0,0
1,5019331,4880,45,43,0,1,0,991,1,0,0,76,0,1,0,0,0,0,0,0,0,14,10,0,0,0,0,0
1,5018991,1175,5,9,0,0,0,159,1,0,0,12,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0
1,5670998,107,17,4,2,0,60,384,0,0,0,159,2,0,1,0,1,23,0,0,0,43,0,0,0,0,0,0
1,5668056,107,17,4,2,0,60,384,0,0,0,159,2,0,1,0,1,23,0,0,0,43,0,0,0,0,0,0
1,5099164,1741,51,7,0,0,0,254,0,0,0,12,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1,2635512,502794,7,1,0,1,5,11,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5131416,3695,343,10,1,0,23,873,0,0,0,32,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1,4503817,68,7,0,0,0,4,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,4473347,66,7,0,0,0,4,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,5448999,117,12,1,0,0,6,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5671422,107,17,4,2,0,60,384,0,0,0,159,2,0,1,0,1,23,0,0,0,43,0,0,0,0,0,0
1,5302677,208,30,2,1,0,535,47,527,0,0,4,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
1,4525008,68,7,0,0,0,4,38,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,4951880,1643,132,10,0,0,0,61,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,2289465,2014,74,7,0,0,0,78,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5045612,165,5,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3112523,654,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5265285,120,22,2,0,0,26,91,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
1,4110536,4634,179,11,0,0,6,2529,0,0,0,47,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,4546195,87,12,0,0,0,14,158,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0
1,5005954,1383,5,12,0,0,0,157,1,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,5017684,476,5,2,0,0,0,50,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,4905979,3723,351,10,1,0,18,1241,0,0,0,27,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
1,5037340,1899,124,10,0,1,0,247,0,0,0,12,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0
