,0
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,1
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,0
304,0
305,1
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,0
366,1
367,0
368,0
369,1
370,0
371,0
372,1
373,1
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,1
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,1
488,1
489,0
490,0
491,1
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,1
521,0
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,0
538,0
539,1
540,1
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,1
549,0
550,0
551,1
552,0
553,0
554,0
555,0
556,1
557,1
558,0
559,1
560,0
561,0
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,1
607,0
608,1
609,0
610,0
611,1
612,0
613,0
614,1
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,1
627,0
628,0
629,1
630,0
631,1
632,0
633,1
634,0
635,0
636,1
637,0
638,1
639,0
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,1
679,1
680,0
681,1
682,0
683,0
684,1
685,0
686,1
687,0
688,0
689,1
690,0
691,1
692,1
693,0
694,0
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,1
709,0
710,1
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,1
721,0
722,0
723,1
724,1
725,0
726,0
727,1
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,1
742,1
743,1
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,1
752,0
753,1
754,0
755,0
756,1
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,1
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,1
788,1
789,0
790,1
791,0
792,0
793,1
794,1
795,0
796,0
797,0
798,0
799,0
